0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2013 年 1 月
推出日期,約 2013 年 1 月
價格,"約 HK$3,198更新日期：2013-03-20"
網絡系統,UMTS (850/900/1900/2100MHz) + GSM (850/900/1800/1900MHz)
操作系統,Android
中央處理器,Dual-core 1.2GHz
操作系統及版本,Android OS 4.1
機身顏色,黑色、白色
尺寸,125.3 x 66.1 x 8.5 mm
重量,121 gram
操控,輕觸式
電池種類,鋰電池 (1650mAh)
可更換電池,不詳
通話時間,"高達850分鐘(2G), 540分鐘(3G)"
備用時間,"高達350小時(2G), 320小時(3G)"
RAM 容量,"8GB, 1GB RAM"
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.3 吋
螢幕類別,SUPER AMOLED Plus
螢幕解像度,480 x 800
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,不支援
數碼變焦,-
視像鏡頭,200 萬像
閃光燈,LED
相機功能,主鏡頭: 800萬像素自動對焦相機連補光燈 前置鏡頭 對焦模式: 自動對焦、微距、人臉追蹤 拍攝模式: 單張拍攝、一笑即拍、美麗、全景、動作拍攝及卡通 場景模式: 無、人像、風景、夜間
短片拍攝,1080p@30fps
短片解像度,1920 x 1080
短片變焦,MP4
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WAV
短片播放格式,H.263 / H.264 / MPEG4 / 3GP / WMV / AVI / DivX / Xvid
收音機,Stereo FM收音機RDS
串流播放格式,支援
聲控功能,Google Talk
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v3.0+HS
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)、DLNA
gps 功能,GPS/GLONASS 全球定位系統(支援 A-GPS)
電腦連線,microUSB 2.0
視頻輸出,HDMI port
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.samsung.com/hk/consumer/mobile/mobile-phones/smartphone/GT-I9105UANTGY-spec
