0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2022 年 1 月
推出日期,約 2022 年 1 月
不同版本,8GB/128GB $51988GB/256GB $5598
價格,"約 HK$5,198更新日期：2022-08-01"
網絡系統,"5G Sub-6 FDD: N1(2100), N5(850) 5G Sub-6 TDD: N41(2500), N78(3500), N79(4500) 4G FDD-LTE: B1(2100), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B20(800), B28(700) 4G TDD-LTE: B38(2600), B40(2300), B41(2500), B34(2010), B39(1900) 3G WCDMA: B1(2100), B2(1900), B5(850), B8(900) 2G GSM: GSM850, GSM900, DCS1800, PCS1900"
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,One UI 4.0
中央處理器,Snapdragon 888
圖像處理器,Adreno 660
操作系統及版本,Android 12
機身顏色,黑、白、紫、綠
尺寸,155.7 x 74.5 x 7.9 mm
重量,177 gram
操控,輕觸式
電池種類,4500 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB RAM
ROM 容量,128GB ROM / 256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.4 吋
螢幕類別,AMOLED
螢幕解像度,2340 x 1080
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,3 X
數碼變焦,30X
視像鏡頭,3200 萬像素
閃光燈,支援
相機功能,後置鏡頭 1：超廣角12MP (F2.2) 後置鏡頭 2：廣角12MP配備Dual Pixel及光學防震（OIS）(F1.8) 後置鏡頭 3：遠攝8MP配備光學防震（OIS）(F2.4) (混合式光學變焦3x) 前置鏡頭：32MP (F2.2) 相機功能： Director’s View Portrait Mode Space Zoom Single Take Super Steady 2.0 Live Focus Super Slow-Mo
短片拍攝,MP4
短片解像度,4K (60 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.2
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac/6
gps 功能,"GPS,Galileo,GLONASS,北斗"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,IP68 生活防水、25W 有線充電、15W 無線充電、逆向充電功能
