0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2013 年 3 月
推出日期,約 2013 年 3 月
價格,"約 HK$5,898更新日期：2013-04-18"
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Android
中央處理器,八核(4 X A15 1.6GHz / 4 X A7 1.2 GHz)
操作系統及版本,Android 4.2
機身顏色,黑、白
尺寸,136.6 x 69.8 x 7.9 mm
重量,130 gram
操控,輕觸式
電池種類,2600mAh
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,2GB RAM/ 有 16/32/64 GB 版本
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,Full HD Super AMOLED
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,不支援
數碼變焦,-
視像鏡頭,200 萬
閃光燈,支援
短片拍攝,Mp4
短片解像度,1920 X 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"AAC, AAC+, eAAC+, WMA,FLAC"
短片播放格式,"3GP, MPEG4,"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,Bluetooth V4.0
紅外線支援,支援
流動數據,"HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi (802.11 b/g/n/ac)
gps 功能,GPS / GLONASS全球定位系統 (支援 A-GPS)
電腦連線,USB 2.0 HS
視頻輸出,支援
