0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2012 年 2 月
推出日期,約 2012 年 2 月
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Android
中央處理器,Dual-core 1 GHz
操作系統及版本,Android OS 4.0
機身顏色,銀灰色
尺寸,256.7 x 175.3 x 9.7 mm
重量,588 gram
操控,輕觸式
電池種類,鋰電池 (7000mAh)
可更換電池,不詳
通話時間,3G 最長可達 39 小時 / 2G 最長可達 68 小時
備用時間,3G 最長可達 2158 小時 / 2G 最長可達 2398 小
RAM 容量,"16GB, 1GB RAM"
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,10.1 吋
螢幕類別,PLS
螢幕解像度,1280 x 800
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,300 萬像素
自動對焦,不支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,200 萬像
閃光燈,LED
短片拍攝,-
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WAV、AC3、FLAC
短片播放格式,MPEG4、H.263、H.264、WMV、DivX、XviD
收音機,Stereo FM收音機RDS
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v3.0+HS
紅外線支援,支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)、DLNA
gps 功能,GPS、AGPS
電腦連線,usb 2.0
視頻輸出,HDMI port
