0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2021 年 8 月
推出日期,約 2021 年 8 月
價格,"約 HK$8,298更新日期：2022-08-01"
網絡系統,"2G GSM GSM850, GSM900, DCS1800, PCS1900 3G WCDMA B1(2100), B2(1900), B5(850), B8(900) 4G FDD LTE B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B13(700), B18(800), B19(800), B20(800), B25(1900), B26(850), B28(700) 4G TDD LTE B34(2010), B38(2600), B39(1900), B40(2300), B41(2500) 5G FDD Sub6^^^^ N1(2100), N3(1800), N5(850), N8(900), N28(700) 5G TDD Sub6^^^^ N41(2500), N78(3500), N79(4500)"
Sim 咭情況,1 X nano SIM + eSIM
操作系統,Android
操作介面,One UI 3
中央處理器,Snapdragon 888
圖像處理器,Adreno 660
操作系統及版本,Android 11
機身顏色,奶油白、森林綠、丁香紫、幻影黑
尺寸,72.2 x 86.4 x 17.1 mm
重量,183 gram
操控,輕觸式
電池種類,3300 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB
ROM 容量,128GB/256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.7 吋
螢幕類別,AMOLED
螢幕解像度,2640 x 1080
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,1000 萬像素
閃光燈,LED 閃光燈
相機功能,"前置鏡頭 1,000萬像素 自拍鏡頭: F2.4, 像素尺寸: 1.22μm, 視野範圍 FOV: 80˚ 後置雙鏡頭 1,200萬像素 超廣角鏡頭: F2.2 像素尺寸: 1.12μm, 視野範圍FOV: 123˚ 1,200萬像素 廣角鏡頭: Dual Pixel AF, OIS, F1.8 像素尺寸: 1.4μm, 視野範圍FOV: 78˚ Super clear glass with Corning® Gorilla® Glass with DX 高達10倍數碼變焦、HDR10+認證、Tracking AF"
短片拍攝,MP4
短片解像度,4K (60fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.1
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac/ax
gps 功能,GPS、伽利略衞星定位系統、Glonass、北斗衛星導航系統
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,IPX8 防水、機外 1.9 吋 Super AMOLED 屏幕、快速充電15W、無線快速充電10W、反向無線充電4.5W
