0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2019 年 2 月
推出日期,約 2019 年 3 月
價格,"約 HK$2,599更新日期：2020-05-12"
網絡系統,"GSM GPRS/EDGE (2G) Bands 850/900/1800/1900 / UMTS HSPA+ (3G) Bands 1, 2, 4, 5, 8 / LTE (4G) 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 28, 29, 66 LTE (4G) Cat12/Cat13"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 636
圖像處理器,Adreno 509
操作系統及版本,Android 9 Pie
機身顏色,藍、黑、銀、金
尺寸,167 x 73 x 8.3 mm
重量,180 gram
操控,輕觸式
電池種類,3000 mAh
可更換電池,不詳
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,64GB
可擴充記憶,Micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,TFT
螢幕解像度,2520 X 1080
螢幕備註,21:9 比例
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,2 X
數碼變焦,5X
視像鏡頭,800 萬像素
閃光燈,LED
相機功能,主相機: 雙相機 12MP 相機: Exmor RS™ for mobile感測器 1/2.8 感測器尺寸 像素大小 1.25μm 76.3° 廣角 F1.75 鏡頭 8MP 相機: 1/4.0 感測器尺寸 像素大小 1.12μm 44.6° 角度 F2.4 鏡頭 自拍相機: 8MP 1/4.0 吋感測器 像素大小 1.12μm 84° 廣角 F2.0 鏡頭
短片拍攝,mp4
短片解像度,4K
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"AAC (AAC-LC, AAC+, eAAC+, AAC-ELD), ALAC, AMR-NB, AMR-WB, DSD, FLAC, MIDI, MP3, PCM, Opus, Vorbis"
短片播放格式,"MPEG-4 Video, H.263, H.264, H.265, VP8, VP9"
收音機,不詳
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0 / LDAC
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi IEEE 802.11a/b/g/n(2.4GHz)
gps 功能,A-GNSS (GPS + GLONASS)
電腦連線,USB Type-C 2.0
視頻輸出,Google Cast
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
