0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2013 年 6 月
推出日期,約 2013 年 6 月
價格,"約 HK$2,098更新日期：2013-08-22"
網絡系統,HSDPA 900 / 2100 / GSM 850 / 900 / 1800 / 1900
操作系統,Android
中央處理器,雙核 1GHz CPU
操作系統及版本,Android 4.1
機身顏色,黑、白、黃、紫
尺寸,24 x 62 x 9.3 mm
重量,115 gram
操控,輕觸式
電池種類,1750 mAh
可更換電池,不詳
通話時間,最高 8 小時 30 分鐘
備用時間,最高 498 小時
RAM 容量,1GB RAM / 4GB ROM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4 吋
螢幕類別,TFT
螢幕解像度,480 X 854
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,不支援
數碼變焦,4X
視像鏡頭,VGA
閃光燈,LED
相機功能,Sony Exmor RS 行動影像感應器技術 錄影功能 (HD 720p) 前置鏡頭 (VGA) 閃光燈/相片閃光燈
短片拍攝,Mp4
短片解像度,1280 X 720
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AVI、3GPP、MP4、MKV、MPEG-TS、SMF、WAV、Ogg vorbis
短片播放格式,3GPP、MP4、MKV、MPEG2-TS、MPEG-4、WEBM
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,Bluetooth 4.0 無線技術
紅外線支援,不支援
流動數據,"HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 b/g/n
gps 功能,AGPS
電腦連線,"Micro USB support, USB charging"
視頻輸出,DLNA Certified
