0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2014 年 2 月
推出日期,約 2014 年 5 月
價格,"約 HK$2,298更新日期：2015-11-09"
網絡系統,LTE 1800 / 2100 / 2600/HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Android
中央處理器,Qualcomm MSM8926 四核心 1.2 GHz CPU
圖像處理器,Adreno 305
操作系統及版本,Android 4.4
機身顏色,黑、白、紫
尺寸,139.6 x 71.1 x 8.6 mm
重量,148 gram
操控,輕觸式
電池種類,2300 mah
可更換電池,不支援
通話時間,3G 最長 14 小時
備用時間,最長 633 小時
RAM 容量,1GB RAM
ROM 容量,8GB ROM
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.8 吋
螢幕類別,TFT
螢幕解像度,540 X 960
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,4X
視像鏡頭,不支援
閃光燈,LED
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3/WAV/eAAC+/AC3/FLAC
短片播放格式,MP4/WMV/H.264/H.263
收音機,Stereo FM收音機
串流播放格式,支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.0 / A2DP
紅外線支援,支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 b/g/n
gps 功能,GPS、AGPS
電腦連線,usb 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
