0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2021 年 10 月
推出日期,約 2021 年 12 月
價格,"約 HK$12,999更新日期：2021-10-26"
網絡系統,"2G 頻段 850、900、1800、1900 3G 頻段 2100 (頻段 1)、1900 (頻段 2)、1700 (頻段 4)、850 (頻段 5)、800 (頻段 6)、900 (頻段 8)、800 (頻段 19) 4G 頻段 1、2、3、4、5、7、8、12,、13、17、19、20、25、26, 28、29、34、38、39、40、41、46、66 5G 頻段 n1、n3、n5、n7、n8、n28、n38、n40、n41、n77、n78、n79"
Sim 咭情況,雙咭雙待 (5G+4G)
操作系統,Android
中央處理器,Snapdragon 888
圖像處理器,Adreno 660
操作系統及版本,Android 11
機身顏色,黑
尺寸,166 x 72 x 8.9 mm
重量,211 gram
操控,輕觸式
電池種類,4500 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB RAM
ROM 容量,512GB
可擴充記憶,micro SD
最大支援記憶體,1TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,OLED
螢幕解像度,3840 x 1644
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,支援
相機功能,後置相機 (1) 解像度 12MP 尺寸 1.0 吋 Exmor R 感測器 光圈 F2.0/F4.0 焦距 24 毫米 視野 85° 後置相機 (2) 解像度 12MP 尺寸 1/2.9 吋 Exmor RS for mobile 影像感測器 光圈 F2.4 焦距 50 毫米 視野 48° 後置相機 (3) 解像度 12MP 尺寸 1/2.5 吋 Exmor RS for mobile 影像感測器 光圈 F2.2 焦距 16 毫米 視野 124° 相機功能 功能 Photography Pro、專為 Xperia PRO-I 校正的 ZEISS® 優質鏡頭、ZEISS® Tessar T* 鏡頭、高達 20 FPS 的自動對焦/自動曝光6、高達每秒 60 次的連續自動對焦/自動曝光計算7、實時眼睛自動對焦 (人類、動物)8、實時追蹤9、3D iToF、RGB-IR、OIS 相片10、LED、閃光燈、補光燈、視訊燈、AI 超級解像度縮放、HDR (高動態範圍) 相片 影像拍攝格式 JPEG (.jpg)、RAW (.dng)11 攝錄 功能 「由 CineAlta 提供技術支援」的 Cinematography Pro、Videography Pro、4K HDR 錄影 (24、25、30、60 及 120 FPS)12、OIS 和 EIS 影片13、具備 FlawlessEye™ 的 Optical SteadyShot™ 光學防震功能14、具備智能動態模式的 SteadyShot™ (5 軸穩定系統)15、Slowmotion(720p 120 FPS)、智能風聲過濾 影片拍攝格式 .mp4 (H.264、H.265) 前置相機 (1) 解像度 8MP 尺寸 1/4 吋 光圈 F2.0 視野 78° 功能 HDR (高動態範圍) 相片、SteadyShot™ 配備智能啟動模式 (五軸穩定技術)、美顏自拍、顯示屏閃光燈、手勢快門與微笑快門
短片拍攝,MP4
短片解像度,最高 4K (120 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,AAC-LC、AAC+、eAAC+、AAC-ELD、AMR-NB、AMR-WB、FLAC、MP3、MIDI、Vorbis、PCM、Opus、ALAC、DSD、Dolby Atmos™、Dolby AC-4、360 Reality Audio 音樂格式
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.2
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac/6
gps 功能,A-GPS、A-GLONASS、Beidou、Galileo、QZSS
電腦連線,USB 3.2 第二代 (10Gbps)
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,IP68、30W PD 快速充電、PS Remote Play 遙控遊玩、DUALSHOCK 4 控制器兼容、Dynamic Vibration System
