0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2014 年 1 月
推出日期,約 2014 年 1 月
價格,"約 HK$2,298更新日期：2015-09-29"
網絡系統,"UMTS HSPA+ 850 (Band V), 900 (Band VIII), 2100 (Band I) MHz GSM GPRS/EDGE 850, 900, 1800, 1900 MHz"
操作系統,Android
中央處理器,Qualcomm MSM8928 四核 1.4GHz
圖像處理器,Adreno 305
操作系統及版本,Android 4.3
機身顏色,黑、白、紫
尺寸,165.2 x 83.8 x 7.65 mm
重量,172 gram
操控,輕觸式
電池種類,3000 mAh
可更換電池,不支援
通話時間,最長 24 小時
備用時間,最長 897 小時 (4G)
RAM 容量,1GB RAM
ROM 容量,8GB ROM
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,16X
視像鏡頭,110 萬像素
閃光燈,LED
相機功能,Portrait Retouch人像修飾：將Xperia™ T2 Ultra變成虛擬鏡子，並讓你在自拍前，可預先揀選不同的人像修飾效果。 Collage拼貼：讓你可直接將相片進行拼貼創作，隨意改變格式、版面及背景創新
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV、FLAC
短片播放格式,"3GPP (.3gp, .3gpp), MP4 (.mp4, .m4v) Matroska (.mkv), AVI (.avi"
收音機,立體聲 FM 收音機
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.0、A2DP
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,IEEE 802.11a/b/g/n
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,MHL
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
