0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2018 年 2 月
推出日期,約 2018 年 3 月
價格,"約 HK$3,200更新日期：2020-05-12"
網絡系統,GSM (2G) 850 / 900 / 1800 / 1900MHz HSPA+ (3G) Band 1/2/4/5/6/8/19 LTE FDD (4G) Band 1/2/3/4/5/7/8/12/13/17/19/20/26/28/29/32/66 LTE TD (4G) (國內) Band 38/39/40/41
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 845
操作系統及版本,Android 8.0
機身顏色,霧夜黑、雪映銀、冰湖綠、珊瑚粉
尺寸,135 x 65 x 12.1 mm
重量,168 gram
操控,輕觸式
電池種類,2870mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB
ROM 容量,64GB ROM
可擴充記憶,Micro SD
最大支援記憶體,400GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,TFT
螢幕解像度,2160 X 1080
螢幕備註,18:9 比例
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1900 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED 補光燈
相機功能,1/2.3 吋流動裝置專用 Exmor RS™ 內置存取記憶體感應器、25 毫米索尼獲獎 G 鏡頭 F2.0、預測混合自動對焦、BIONZ™ for mobile 影像處理引擎、預測拍攝 (動作/微笑)、自動對焦連拍、8 倍數碼變焦、HDR 相片、快速啟動和拍攝、微光攝影：ISO 12800、防失真快門、三重影像感測技術
短片拍攝,MP4
短片解像度,4K HDR
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"LPCM, FLAC, ALAC, DSD"
短片播放格式,MP4/H.264
收音機,支援
串流播放格式,不支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google PlayStore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0 / A2DP /LDAC
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,802.11 a/b/g/n/ac
gps 功能,A-GPS、A-Glonass、Beidou、Galileo、Q
電腦連線,USB Type C
視頻輸出,Google Cast
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援 IP68 防水及無線充電
