0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2018 年 8 月
推出日期,約 2018 年 10 月
價格,"約 HK$4,080更新日期：2020-05-12"
網絡系統,GSM (2G) 850 / 900 / 1800 / 1900MHz HSPA+ (3G) Band 1/2/4/5/6/8/19 LTE FDD (4G) Band 1/2/3/4/5/7/8/12/13/17/19/20/26/28/29/32/66 LTE TD (4G) (國內) Band 38/39/40/41
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 845
操作系統及版本,Android 9.0
機身顏色,清透銀、深湖綠、紫漾粉、澄澈黑
尺寸,158 x 73 x 9.9 mm
重量,193 gram
操控,輕觸式
電池種類,3330mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,64GB
可擴充記憶,Micro SD
最大支援記憶體,400GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6 吋
螢幕類別,OLED
螢幕解像度,2880 X 1440
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1900 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1300 萬像素
閃光燈,LED 補光燈
相機功能,1/ 2.3 吋流動裝置專用 Exmor RS™ 內置存取記憶體感應器、25 毫米 Sony 獲獎 G 鏡頭 F2.0、預測混合自動對焦 (0.03 秒)、流動裝置專用 BIONZ™ 影像處理器、預測拍攝功能 (動作/微笑)、自動對焦連拍、8 倍數碼變焦 (相片與影片)、HDR 相片、快速啟動與拍攝、低光源攝影：ISO 12800、防失真快門、三重影像感測技術
短片拍攝,MP4
短片解像度,4K HDR
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,AAC-LC、AAC+、eAAC+、AAC-ELD、AMR-NB、AMR-WB、FLAC、MP3、MIDI、Vorbis、PCM、Opus、ALAC、WMA、DSD
短片播放格式,MPEG-4 影片、H.263、H.264、H.265、VP8
收音機,不支援
串流播放格式,不支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0 / A2DP /LDAC
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac、2.4/5GHz
gps 功能,A-GNSS GPS + GLONASS
電腦連線,USB Type C
視頻輸出,Google Cast
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援 IP68 防水及無線充電
