0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2017 年 2 月
推出日期,約 2017 年 3 月
價格,"約 HK$3,998更新日期：2019-01-29"
網絡系統,GSM/GPRS/EDGE: 850/900/1800/1900MHz WCDMA/HSPA: 850/900/1900/2100MHz TD-SCDMA: 1900/2000MHz LTE FDD: 850/900/1800/2100/2600MHz TD-LTE: 1900/2300/2600MHz
Sim 咭情況,雙咭雙待 (nano)
操作系統,Android
中央處理器,Snapdragon 820
圖像處理器,Adreno 530
操作系統及版本,Android 7
機身顏色,藍、黑、光鉑
尺寸,146 x 72 x 8.1 mm
重量,161 gram
操控,輕觸式
電池種類,2900 mAh
可更換電池,不支援
通話時間,13 小時
備用時間,3G 最長可達 300 小時
RAM 容量,4GB
ROM 容量,64GB
可擴充記憶,microSDXC
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.2 吋
螢幕類別,IPS
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1900 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,1300 萬像素
閃光燈,支援
相機功能,支援 960 fps 慢速短片
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,LPCM、FLAC、ALAC、DSD
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"v4.2, A2DP, LE, apt-X"
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi (802.11 b/g/n/ac)
gps 功能,GPS、A-GPS、GLONASS
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,PS4™ Remote Play、防水 (IP65/68)
