0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2013 年 6 月
推出日期,約 2013 年 6 月
價格,"約 HK$2,598更新日期：2015-07-02"
網絡系統,HSDPA UMTS 900 2100 GSM 850 900 1800 1900
操作系統,Android
中央處理器,2.2 GHz Qualcomm Snapdragon 800 四核心處理器
操作系統及版本,Android 4.2 (Jelly Bean)
機身顏色,黑、白、紫
尺寸,179.4 x 92.2 x 6.5 mm
重量,212 gram
操控,輕觸式，支援以任何鉛筆、指定的觸控筆或原子筆在屏幕上書寫繪畫
電池種類,3050 mAh 鋰電池
可更換電池,不詳
通話時間,長達 16 小時
備用時間,長達 820 小時
RAM 容量,16GB / 2GB RAM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.44 吋
螢幕類別,TRILUMINOS TFT LCD
螢幕解像度,1920 x 1080
螢幕備註,輕觸式，支援以任何鉛筆、指定的觸控筆或原子筆在屏幕上書寫繪畫
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,1 X
數碼變焦,16X
視像鏡頭,200 萬像素前置鏡頭
閃光燈,不支援
相機功能,連拍、HDR 相片及影片、 臉部偵測、 Geotagging、FHD 錄影 、主體追蹤、防手震、相片特效、場景辨識、微笑快門、一掃全景、觸控對焦
短片拍攝,-
短片解像度,1920 x 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,FLAC、AAC、MKA、OGG、MP3、MIDI、M4A、AMR、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,立體聲 FM 收音機
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v4.0、A2DP
紅外線支援,不支援
流動數據,LTE、HSDPA、UMTS、EDGE、GPRS
wifi 功能,IEEE 802.11a/b/g/n/ac
gps 功能,GPS、AGPS
電腦連線,USB 2.0
視頻輸出,MHL 支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.sonymobile.com/global-zh/products/phones/xperia-z-ultra/specifications/#tabs
