0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2013 年 1 月
推出日期,約 2013 年 1 月
價格,"約 HK$2,180更新日期：2015-09-01"
網絡系統,"4G LTE (Bands 1, 3, 5, 7, 8, 20) 3G WCDMA：800、900、1800 2G GSM：850、900、1800、1900"
操作系統,Android
中央處理器,Snapdragon S4 Pro 四核 1.5GHz CPU
圖像處理器,Adreno 320
操作系統及版本,Android OS 4.1
機身顏色,紫色、黑色及白色
尺寸,139 x 71 x 7.9 mm
重量,146 gram
操控,輕觸式
電池種類,鋰電池 (2330mAh)
可更換電池,不支援
通話時間,約 11 小時
備用時間,約 550 小時
RAM 容量,2GB
ROM 容量,16GB
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,TFT
螢幕解像度,1920 x 1080
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,16X
視像鏡頭,200 萬畫素
閃光燈,LED 閃光燈
短片拍攝,1080p@30fps
短片解像度,1920x1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV、Xvid
收音機,Stereo FM收音機
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"Bluetooth 4.0 無線技術, 藍牙立體聲 (A2DP)"
紅外線支援,不支援
流動數據,LTE、 HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、A-GPS、GLONASS
電腦連線,microUSB 2.0
視頻輸出,MHL
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.sonymobile.com/global-zh/products/phones/xperia-z/#tabs
備註,Reality Display 螢幕搭載 Mobile BRAVIA Engine 2 技術OptiContrast 與 Direct Touch 屏幕 Exmor R 雙高感光元件生活防水及生活防塵OmniBalance 全平衡設計耐用玻璃面板NFC (近距離無線通訊)
