0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2015 年 5 月
推出日期,約 2015 年 6 月
價格,"約 HK$3,180更新日期：2016-01-11"
網絡系統,4G FDD LTE：B3 /B7 /B8 4G TD LTE：B40 3G WCDMA：850/900/2100 GSM/GPRS/EDGE: 850/900/1800/1900MHz
操作系統,Android
中央處理器,Snapdragon 810 八核 CPU (4 核 2 GHz + 4 核 1.5 GHz)
圖像處理器,Adreno 430
操作系統及版本,Android 5.0
機身顏色,黑、白、水綠、銅
尺寸,146 x 72 x 6.9 mm
重量,144 gram
操控,輕觸式
電池種類,2930 mAh
可更換電池,不支援
通話時間,2G：580 分鍾/3G：590 分鍾
備用時間,2G：17 小時/3G：12 小時
RAM 容量,3GB RAM
ROM 容量,32GB
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.2 吋
螢幕類別,TFT
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,2070 萬像素
自動對焦,支援
光學防震,支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,4K UHD (3840x216
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,AAC/HE-AAC/AMR/AWB/MIDI/MP2/MP3/OGG VORBIS/PCM/APE/WMA/FLAC/
短片播放格式,HEVC/H264/H263/MP4/MP2/WMV9/VC1/VP8/VP9
收音機,支援
串流播放格式,支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.0 / A2DP/LDAC 無線傳輸技術
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 b/g/n/ac
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,Mirror Cast
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,支援 IP65 / 68 防水性能
