0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2021 年 4 月
推出日期,約 2021 年 5 月
不同版本,12GB/256GB HK$929912GB/512GB HK$9999
價格,"約 HK$9,299更新日期：2021-10-25"
網絡系統,"2G 頻段：850、900、1800、1900 3G 頻段：2100 (頻段 1)、1900 (頻段 2)、1700 (頻段 4)、850 (頻段 5)、800 (頻段 6)、900 (頻段 8)、800 (頻段 19) 4G 頻段：1、2、3、4、5、7、8、12,、13、17、19、20、25、26, 28、29、34、38、39、40、41、46、66 5G 頻段：n1、n3、n5、n7、n8、n28、n38、n40、n41、n77、n78、n79"
Sim 咭情況,雙咭雙待 (5G + 4G)
操作系統,Android
中央處理器,Snapdragon 888
圖像處理器,Adreno 650
操作系統及版本,Android 11
機身顏色,紫、灰、黑
尺寸,165 x 71 x 8.2 mm
重量,187 gram
操控,輕觸式
電池種類,4500 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB
ROM 容量,256GB/512GB
可擴充記憶,micro SD
最大支援記憶體,1TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,OLED
螢幕解像度,3840 x 1644
螢幕備註,21:9
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1200像素
自動對焦,支援
光學防震,支援
光學變焦,5 X
數碼變焦,30X
視像鏡頭,800 萬像素
閃光燈,LED 閃光燈
相機功能,後置攝影機 (1) 解析度 12MP 尺寸 1/1.7 吋行動裝置專用Exmor RS™ 感光元件 光圈 F1.7 焦距 24 mm 視野 82° 後置攝影機 (2) 解析度 12MP 尺寸 1/2.9 吋行動裝置專用 Exmor RS™ 光圈 F2.3 (70mm)、F2.8 (105mm) 焦距 70mm、105mm 視野 34° (70mm)、23° (105mm) 後置攝影機 (3) 解析度 12MP 尺寸 1/2.5 吋行動裝置專用 Exmor RS™ 光圈 F2.2 焦距 16 mm 視野 124° 相機功能 功能 Photography Pro、專為 Xperia 1 III 校正的 ZEISS® 級鏡頭、ZEISS® T* 鍍膜、高達 20fps 的 AF/AE6、高達每秒 60 次的連續 AF/AE 計算7、即時眼部 AF 功能 (人眼、動物眼)8、即時追蹤9、3D iToF、雙光電二極體10、RGB-IR、OIS 照相11、相片閃光燈、照相補光燈、混合式變焦 12.5 倍 (以 24mm 寬鏡頭相機為準)、人工智慧超解析度變焦、HDR (高動態範圍) 相片 影像擷取格式 JPEG (.jpg)、RAW (.dng) 錄製影片 功能 「由 CineAlta 支援」的 Cinematography Pro、24、25、30、60 和 120fps 的慢動作 4K HDR 電影錄製12、OIS 和 EIS 影片13、具備 FlawlessEye™ 的 Optical SteadyShot™ 光學防手震14、搭載智慧式進階模式的 SteadyShot™ (5 軸穩定系統)15、智慧型除噪器 錄影格式 .mp4 (H.264、H.265) 前置攝影機 (1) 解析度 8MP 尺寸 1/4 吋 光圈 F2.0 視野 78° 功能 HDR (高動態範圍) 相片、搭載智慧式進階模式的 SteadyShot™ (5 軸穩定系統)、人像自拍、顯示閃光燈、手勢快門
短片拍攝,MP4
短片解像度,4K (24fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,H.263、H.264、H.265、MPEG-4 影片、AV1、VP8、VP9
收音機,不詳
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.2
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE802.11a/b/g/n(2.4GHz)/n(5GHz
gps 功能,A-GPS、A-Glonass、北斗衛星導航系統、伽利略定位系統、QZSS
電腦連線,USB 3.1 Gen1
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,IP68 防水
