0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,vivo
發表日期,約 2018 年 12 月
推出日期,約 2018 年 12 月
價格,"約 HK$3,880更新日期：2021-12-24"
網絡系統,2G GSMB2/B3/B5/B8 3G WCDMAB1/B5/B8/B194G FDD-LTEB1/B3/B5/B7/B8/B19/B284G TDD-LTEB38/B39/B40/B41
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 845
圖像處理器,Adreno 630 GPU
操作系統及版本,Android 9
機身顏色,冰原藍
尺寸,157.19×75.3×8.09 mm
重量,199 gram
操控,輕觸式
電池種類,3500 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,10GB
ROM 容量,128GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,前 6.39''（直角) 後 5.49''（直角） 吋
螢幕類別,AMOLED
螢幕解像度,前 1080 X 2340 後 1920 X 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,以主相機作視像鏡頭
閃光燈,LED + 雙柔光燈
相機功能,相機12MP + 2MP + TOF 光圈 f1.79 + f1.8 +f1.3 閃光燈前置模式柔光燈、後置模式閃光燈 拍攝模式後置：HDR，專業拍照，美顏，慢鏡頭，快鏡頭，全景、4K錄影、PDAF、手勢拍照、語音拍照、濾鏡、動態照片、人像模式、AR貼紙、Google Lens、智美臉型、AI人像構圖、美體相機、AI濾鏡、AI場景識別 前置：AI美顏，HDR、全景、人像光效、濾鏡、前置模式柔光燈、動態照片、手勢拍照、語音拍照、AR貼紙
短片拍攝,MP4
短片解像度,4K 30fps
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"WAV,MP3,AMR-NB,AMR-WB,MIDI,FLAC,Vorbis,APE,APE/MP3"
短片播放格式,"MP4,3GP,AVI"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,藍牙 5.0
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,支援 2.4GHz/5.1GHz/5.8GHz
gps 功能,支援
電腦連線,USB type-C 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,AK4377A DAC
