0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,vivo
發表日期,約 2019 年 8 月
推出日期,約 2019 年 8 月
價格,"約 HK$2,398更新日期：2019-09-03"
網絡系統,2G GSM B2/3/5/8 CDMA BC0 3G WCDMA B1/5/8 4G FDD-LTE B1/3/5/7/8/28 4G TDD-LTE B38/B39/40/41
Sim 咭情況,雙咭雙待 + Micro SD 咭槽
操作系統,Android
操作介面,Funtouch OS 9
中央處理器,MT6768
圖像處理器,Arm G52
操作系統及版本,Android 9
機身顏色,波漾藍、海風青
尺寸,159.53 x 75.23 x 8.13 mm
重量,179 gram
操控,輕觸式
電池種類,4500 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.38 吋
螢幕類別,AMOLED
螢幕解像度,2340 X 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡 1600 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,支援
相機功能,前置鏡頭 3200萬像素 (f/2.0) 後置鏡頭 1600萬像素主鏡頭 + 800萬像素超廣角鏡頭 + 200萬像素虛化鏡頭 (f/1.78+f/2.2+f/2.4) 後置拍攝模式：文件修正/專業拍照/ PDAF/ 快鏡頭/慢鏡頭/動態照片/ HDR/ 背景虛化/ 全景/ AR貼紙/ 美顏錄影/ 人像光效. AI濾鏡/ 焕顏相機/ AI人像構圖/ 超廣角/ 短視頻 前置相機拍攝模式：全景/ 動態照片/ 分性別美顏/ 美顏+虛化/ AI 濾鏡/ AR貼紙/ 美顏錄影/ 人像光效/ 煥顏相機/ 短視頻
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"WAV, MP3, MP2, AMR-NB, AMR-WB, MIDI, Vorbis, APE, FLAC"
短片播放格式,"MP4, 3GP, AVI, TS, FLV, MKV"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,2.4G+5G
gps 功能,支持
電腦連線,Micro USB
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援人面識別功能
