0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,vivo
發表日期,約 2019 年 3 月
推出日期,約 2019 年 3 月
價格,"約 HK$3,498更新日期：2021-12-24"
網絡系統,2G-CDMABC0 2G GSMB2/3/5/8 3G WCDMAB1/5/8 4G FDD-LTEB1/3/5/7/8 4G TDD-LTEB38/40/41
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 675
圖像處理器,Adreno 612
操作系統及版本,Android 9.0
機身顏色,藍、紅
尺寸,157.25×74.71×8.21 mm
重量,185 gram
操控,輕觸式
電池種類,3700mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.39 吋
螢幕類別,AMOLED
螢幕解像度,2340×1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,LED
相機功能,相機前置鏡頭： 3200萬像素 後置鏡頭：4800萬四合一像素感測器(1200萬有效像素)+800萬像素超廣角鏡頭+500萬像素虛化鏡頭 光圈前置鏡頭：f/2.0 後置鏡頭： f/1.8+f/2.2+f/2.4 閃光燈後置閃光燈 拍攝模式文件修正/專業拍照/慢鏡頭/延時攝影/濾鏡/動態照片/後置虛化/逆光拍照/AI美顏/後置全景拍照/前置全景拍照/手掌拍照/分性別美顏/自拍屏幕補光/AR貼紙/智美臉型/浮水印/AI自拍光效/AI場景識別/AI人像構圖/AI美體相機/AI超廣角/AI超級夜景
短片拍攝,MP4
短片解像度,4K
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"WAV, MP3, MP2,AMR-NB, AMR-WB, MIDI, Vorbis, APE, FLAC"
短片播放格式,"MP4, 3GP, AVI"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,2.4GHz/5GHz
gps 功能,支持
電腦連線,USB 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
