0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,vivo
發表日期,約 2020 年 1 月
推出日期,約 2020 年 1 月
價格,"約 HK$2,398更新日期：2021-12-24"
網絡系統,2G GSM:B2/3/5/8 CDMA:BC0 3G WCDMA:B1/4/5/8 4G FDD-LTE:B1/3/4/5/7/8/28 4G TDD-LTE:B38/39/40/41
Sim 咭情況,2 Nano SIMs 及 1 microSD Card
操作系統,Android
操作介面,Funtouch OS 9.2
中央處理器,Snapdragon 665
圖像處理器,Adreno 610
操作系統及版本,Android 9
機身顏色,幻彩晴空、星雲藍
尺寸,159.25 x 75.19 x 8.68 mm
重量,187 gram
操控,輕觸式
電池種類,4500 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.38 吋
螢幕類別,AMOLED
螢幕解像度,2340 x 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,支援
相機功能,"前置鏡頭: 3200萬像素, (f/2.0) 後置鏡頑: 4800萬像素主鏡頭, (f/1.8) + 800萬像素120。超廣角鏡頭, )f/2,2) + 200萬像素虛化鏡頭, (f/2.4) + 200萬像素微距, (f/2.4) 拍攝模式:文件修正/AR貼紙/HDR/超廣角/微距/專業模式/慢鏡頭/延時攝影/濾鏡/動態照片/後置虛化/逆光拍攝/AI美顏/後置全景拍攝/前置全景拍攝/手勢拍攝/語音拍攝/浮水印/視頻通話美顏/人像構圖/後置連拍/POSE姿勢"
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA"
短片播放格式,"MP4, 3GP, AVI, TS, MKV, FLV"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,2.4GHz/5GHz
gps 功能,"GPS, BeiDou, GLONASS, Galileo"
電腦連線,USB 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
