0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,vivo
發表日期,約 2020 年 6 月
推出日期,約 2020 年 6 月
價格,"約 HK$3,498更新日期：2022-01-26"
網絡系統,2G GSMB2/B3/B5/B8 3G WCDMAB1/B2/B4/B5/B8 4G FDD-LTEB1/B2/B3/B4/B5/B7/B8/B12/B17/B18/B19/B20/B26/B28/B32/B66 4G TDD-LTEB38/39/40/41F 5Gn1/n3/n7/n8/n28/n40/n41/n78
Sim 咭情況,5G 雙咭雙待
操作系統,Android
中央處理器,MTK Dimensity 800U
圖像處理器,Arm Mali G57-class
操作系統及版本,Android 11
機身顏色,藍、落日傾彩
尺寸,159.68 x 73.90 x 7.39 mm
重量,179 gram
操控,輕觸式
電池種類,4000mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,1TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.44 吋
螢幕類別,AMOLED
螢幕解像度,2400 x 1080
螢幕備註,90Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 6400 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,4400 萬像素
閃光燈,LED 閃光燈
相機功能,相機前置44MP OIS AF / 後置 64MP OIS AF + 8MP廣角 + 2MP微距 光圈前置: 主鏡頭 f/2.0 後置：主鏡頭 f/1.79 + 後廣角 f/2.2 + 後微距 f/2.4 閃光燈後置閃光燈，前置微縫燈 拍攝模式前置：前置OIS光學防抖、AF自動對焦、前置超級夜景、極夜人像自拍算法、前置人眼追焦、4K超清視頻、前置雙重視頻防抖、全新光影風格、兒童美顏、人臉特徵痣保留、合影小頭、雙重曝光、視頻美顏、畫中畫 後置：OIS視頻防抖、4K超清視頻、人眼追焦、超級夜景模式、超廣角夜景，超級防抖視頻、藝術人像視頻、超級微距、人像虛化、風格人像
短片拍攝,MP4
短片解像度,4K (60fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.1
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,2.4GHz，5GHz
gps 功能,支援
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,屏下指紋識別、33W 有線快速充電
