0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,vivo
發表日期,約 2022 年 5 月
推出日期,約 2022 年 5 月
價格,"約 HK$8,998更新日期：2022-05-16"
網絡系統,2G GSM850 / 900 / 1800 / 1900 MHz 3G WCDMAB1 / B2 / B4 / B5 / B8 4G FDD-LTEB1 / B2 / B3 / B4 / B5 / B7 / B8 / B12 / B13 / B17 / B18 / B19 / B20 / B26 / B28 / B32 / B66 4G TDD-LTEB38 / B39 / B40 / B41 / B42 5G TypeNSA+SA 5GN1 / N2 / N3 / N5 / N7 / N8 / N20 / N28 / N38 / N40 / N41 / N66 / N77 / N78 / N79
Sim 咭情況,雙咭雙待 (雙 5G)
操作系統,Android
操作介面,Funtouch OS 12 Global
中央處理器,Snapdragon 8 Gen 1 CPU
圖像處理器,Adreno 730 GPU
操作系統及版本,Android 12
機身顏色,黑
尺寸,164.57 x 75.30 x 9.1 mm
重量,219 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB RAM
ROM 容量,256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.78 吋
螢幕類別,OLED
螢幕解像度,3200×1440
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 5000 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,LED
相機功能,相機Front 32MP / Rear 50MP+48MP+12MP+8MP 光圈Front f/2.45（32MP），Rear f/1.57（50MP）+f/2.2（48MP）+f/1.85（12MP）+f/3.4（8MP） 閃光燈後置閃光燈 拍攝模式高像素、夜景、人像、拍照、錄影、專業、全景、動態相片、慢動作、縮時攝影、AR貼紙、微影片、智慧視覺、超級月亮、超清文檔、星空、運動抓拍、時光慢門、雙重曝光、雙視野錄影、超級合影
短片拍攝,mp4
短片解像度,4K (60fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,WAV、MP3、MP2、MIDI、vorbis、APE、FLAC、ACC
短片播放格式,MP4，3GP，AVI
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google PlayStore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.2
紅外線支援,支援
流動數據,"5G, LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,"2.4G / 5G, WIFI 6, WiFi Display"
gps 功能,"GPS, BEIDOU, GLONASS, GALILEO, A-GPS, QZSS,"
電腦連線,USB Type-C，USB 3.1
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,IP68、vivo FlashCharge (80W) + 50W無線充電 + 10W無線反充、Hi-Fi支援 CS43131 DAC、超聲波3D螢幕指紋解鎖
