0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,vivo
發表日期,約 2020 年 3 月
推出日期,約 2020 年 3 月
價格,"約 HK$1,498更新日期：2022-01-26"
網絡系統,2G GSMB2/3/5/8 3G WCDMAB1/5/8 4G FDD-LTEB1/3/5/7/8/28 4G TDD-LTEB38/39/40/41
Sim 咭情況,Nano Sim + Nano Sim + Micro SD
操作系統,Android
中央處理器,MT6765 (Helio P35)
圖像處理器,PowerVR GE8320
操作系統及版本,Android 9
機身顏色,紅、黑
尺寸,159.43×76.77×8.92 mm
重量,190 gram
操控,輕觸式
電池種類,5000mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.35 吋
螢幕類別,TFT
螢幕解像度,1544 X 720
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED 閃光燈
相機功能,相機前置 8MP / 後置 13MP+8MP+2MP 光圈前置 f/1.8 （8MP），後置 f/2.2（13MP）+f/2.2（8MP）+f/2.4（2MP） 閃光燈後置閃光燈 拍攝模式文檔矯正、專業模式、PDAF、手掌快門、語音快門、快鏡（延時攝影）、慢鏡頭、動態照片、HDR (逆光) 、全景、背景虚化（前置單鏡頭）、機印/時間水印、AI智能美颜、濾鏡、超廣角
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,Bluetooth V5.0
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,2.4G+5G Wi-Fi 802.11 a/b/g/n
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,microUSB 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
