0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,vivo
發表日期,約 2020 年 5 月
推出日期,約 2020 年 5 月
價格,"約 HK$2,198更新日期：2021-12-24"
網絡系統,網路類型雙卡雙待 (DSDS) 2G GSMB2/3/5/8 2G CDMABC0 3G WCDMAB1/5/8 4G FDD-LTEB1/3/5/7/8/28 4G TDD-LTEB38/39/40/41
Sim 咭情況,雙咭雙待 + Micro SD 咭槽
操作系統,Android
操作介面,Funtouch 10
中央處理器,Snapdragon 665
圖像處理器,Adreno 610
操作系統及版本,Android 10
機身顏色,海洋藍'珍珠白
尺寸,162.04 × 76.46 × 9.11 mm
重量,197 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB RAM
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.53 吋
螢幕類別,TFT
螢幕解像度,2340 × 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 1300像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,支援
相機功能,相機前置 16MP / 後置 13MP+8MP+2MP+2MP 光圈前置 f/2.0 （16MP），後置 f/2.2 (13MP) + f/2.2(8MP)+ f/2.4(2MP)+ f/2.4(2MP) 閃光燈後置閃光燈 拍攝模式超級夜景（前後置）、專業模式、PDAF、AR貼紙、手掌快門、語音快門、快鏡（延時攝影）、慢鏡頭、自拍屏幕補光、動態照片、HDR (逆光) 、全景、人像模式（後置）、背景虚化、前置人像虚化、視像通話美顏、機/時間水印、錄影美顏、人像光效、濾鏡、EIS防手震
短片拍攝,MP4
短片解像度,4K (30 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"WAV, MP3, MP2, AMR-NB, MIDI, Vorbis, APE, FLAC, ogg"
短片播放格式,"MP4, 3GP, AVI, TS, MKV, FLV"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,2.4GHz + 5GHz a/b/g/n/ac
gps 功能,GPS，BeiDou，GLONASS，Galileo
電腦連線,USB-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
