0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2018 年 10 月
推出日期,約 2019 年 12 月
不同版本,3GB/32GB ($1199)4GB/64GB ($1399)
價格,"約 HK$1,199更新日期：2020-07-15"
網絡系統,GSM B2 / B3 / B5 / B8 WCDMA B1 / B2 / B4 / B5/ B8 TDD-LTE B38 / B40 FDD-LTE B1 / B2 / B3 / B4 / B5 / B7 / B8 / B20 / B28
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,MIUI10
中央處理器,Snapdragon 665
圖像處理器,Adreno 610
操作系統及版本,Android 10
機身顏色,皓月白、 星際藍、月影灰
尺寸,161.44 X 75.40 X 8.6 mm
重量,199 gram
操控,輕觸式
電池種類,4000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,3GB/4GB
ROM 容量,32GB/64GB
可擴充記憶,Micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.3 吋
螢幕類別,TFT
螢幕解像度,2340 x 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1300 萬像素
閃光燈,LED 閃光燈
相機功能,4800 萬超清主攝 48MP，0.8μm，1/2 吋型感應器，FOV 79.4° f/1.79 光圈，6P 鏡頭，AF，支援 4in1（12MP，1.6μm 800 萬 超廣角相機 8MP，1.12μm，FOV 120°，f/2.2 光圈 200 萬 超微距相機 2MP，1.75μm，f/2.4光圈，AF 200 萬 景深相機 2MP，1.75μm，f/2.4光圈 照片分辨率：8000 x 6000 錄影解析度：最高支援 4K 錄影 單色溫閃光燈
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,WAV | AAC | MP3 | AMR | FLAC
短片播放格式,MP4 | M4V | MKV | XVID
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 4.2
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac
gps 功能,GPS | A-GPS | Glonass | 北斗
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
