0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2020 年 5 月
推出日期,約 2020 年 5 月
價格,"約 HK$1,899更新日期：2020-07-15"
網絡系統,GSM：B2/3/5/8 WCDMA：B1/2/4/5/8 TDD LTE：B38/40/41（2535-2655MHz） FDD LTE：B1/2/3/4/5/7/8/20/28
Sim 咭情況,支援 3 卡槽，nano-SIM + nano-SIM + microSD （512GB 外置） 支援雙SIM卡 VoLTE HD 通話
操作系統,Android
操作介面,MIUI 11
中央處理器,Snapdragon 720G
圖像處理器,Adreno 618
操作系統及版本,Android 10
機身顏色,冰河白、星際灰、熱帶綠
尺寸,165.75 x 76.68 x 8.8 mm
重量,209 gram
操控,輕觸式
電池種類,5020 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.67 吋
螢幕類別,TFT
螢幕解像度,2400×1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 6400 萬 像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,支援
相機功能,64MP超高解像度的主鏡頭 1 / 1.72“ 感應器 1.6μm的4合1超像素，0.8μm的像素大小 F / 1.89 AF，6P鏡頭，FOV 79.8° 8MP超廣角相機 FOV 119°（108.3°畸變校正後） F / 2.2 1/4“感應器尺寸 1.12μm像素尺寸，5P鏡頭 5MP微距鏡頭 AF（約2cm 10厘米）中，f / 2.4，1/5“ 感應器，1.12μm像素大小 2MP景深鏡頭 1/5“的感應器尺寸，1.75μm像素大小，F / 2.4 後置鏡頭拍照功能 夜間模式|文件模式|電影畫面人像 64MP HD |智能超廣角模式|後置鏡頭美顏 穩定的手持夜景攝影|人像景深效果調節|全景模式 專業模式| 倒數計時拍照 | 水平儀 |連拍模式|人臉辨識| HDR |超廣角邊緣畸變校正|自定浮水印| AI浮水印| 人像景深效果調節|全螢幕畫幅 後置鏡頭AI 場景相機 （27識別標籤）|微距鏡頭 後置鏡頭影片功能 電影般畫面4K影片|超廣角錄影|微距錄影|短影片模式| 4K錄影|萬花筒
短片拍攝,MP4
短片解像度,4K (30 fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3/mp4/3gp/ogg/amr/aac/flac/midi
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0
紅外線支援,支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a / b / g / n/ ac
gps 功能,GPS / A-GPS /Galileo/ GLONASS /北
電腦連線,USB-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
