0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2020 年 6 月
推出日期,約 2020 年 6 月
不同版本,6GB/128GB ($2499)8GB/256GB ($2999)
價格,"約 HK$2,499更新日期：2020-07-15"
網絡系統,GSM：2/3/5/8 WCDMA：1/2/4/5/8 LTE FDD：1/2/3/4/5/7/8/20/28 LTE TDD：38/40/41 5G： n1 / n3 / n7 / n28 / n77 / n78
Sim 咭情況,雙 Nano-SIM 卡槽 支援單 SIM 5G / 4G / 3G / 2G 支援雙 SIM4G + / 4G / 3G / 2G
操作系統,Android
操作介面,MIUI11
中央處理器,Snapdragon 765G
圖像處理器,Adreno 620
操作系統及版本,Android 10
機身顏色,藍 、灰 、夢白
尺寸,163.71 X 74.77 X 7.88 mm
重量,192 gram
操控,輕觸式
電池種類,4160mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB/8GB
ROM 容量,128GB/256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.57 吋
螢幕類別,AMOLED
螢幕解像度,2400×1080
螢幕備註,20:9，支援 HDR10+
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,LED 閃光燈
相機功能,"48MP主鏡頭 1/2“超大感光元件，0.8μm，4合1超大像素，f / 1.79超大光囤，6P鏡頭 8MP超廣角相機 120°超廣角，F / 2.2光圈 2MP微距鏡頭 1.75μm, FF 康寧®第五代大猩猩®玻璃 1.75μm, ƒ/2.4 後置鏡頭（拍照+影片）支援功能 48萬高清像素| AI相機|超級夜景模式2.0 |文件模式|電影模式| 4K影片|Vlog 影片|運動追蹤|延時攝影|影片濾鏡|影片調色|進階影片穩定器| 960fps慢動作影片|微距錄影|短影片錄製|人像模式與背景虛化|全景模式|專業模式|倒數計時|水平儀|連拍模式|人臉識別| HDR | AI調色|嬰兒美顏| AI 智慧瘦臉| 超廣角邊緣畸變校正|合影人臉修正|自訂浮水印|人像景深效果調節 |動態背景虛化| AI 影棚光效| AI超分辨率的照片"
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.1/ AAC / LDAC / LHDC / aptX / aptX HD / aptX
紅外線支援,支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a / b / g / n / ac
gps 功能,GPS: L1 + L5 | Galileo: E1 + E5a
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,AI面部解鎖
