0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2021 年 3 月
推出日期,約 2021 年 3 月
價格,"約 HK$2,199更新日期：2021-06-30"
網絡系統,LTE FDD：1/2/3/4/5/7/8/12/17/20/28/32/66 LTE TDD：38/40/41 (120MHz) WCDMA：1/2/4/5/8 G5M：2/3/5/8
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,MIUI12
中央處理器,Snapdragon 732G
圖像處理器,Adreno 618 GPU
操作系統及版本,Android 11
機身顏色,糖果藍、蜜桃粉 、珍奶黑
尺寸,160.53 X 75.73 X 6.81 mm
重量,157 gram
操控,輕觸式
電池種類,4250mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB RAM
ROM 容量,128GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.55 吋
螢幕類別,AMOLED
螢幕解像度,2400x1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 6400 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,LED 閃光燈
相機功能,64MP 主鏡頭 f/1.79，6P 鏡頭，對比自動對焦 4 合 1 超像素，0.7μm 像素大小（自動模式下為 16MP） 8MP 超廣角鏡頭 119° FOV，f/2.2 5MP 長焦微距鏡頭 f/2.4，對比自動對焦（3 厘米 - 7 厘米） 後置鏡頭拍攝功能 定時連拍，AI SkyScaping 後置鏡頭影片功能 一鍵 AI 拍攝功能，縮時影片 後置影片攝錄 4K 30fps 1080p 30fps / 60fps 720p 30fps 慢動作影片： 1080P 120fps 720P 120fps / 240fps / 960fps 16MP 前置鏡頭 F/2.45 前置鏡頭拍攝功能 夜景模式，定時連拍，AI 美化 前置鏡頭影片功能 縮時自拍 前置影片攝錄 1080P 30fps / 60fps 720P 30fps 慢動作影片: 720P 120fps 1080P 120fps
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.1
紅外線支援,支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac
gps 功能,GPS：L1 Glonass：G1，Galileo：E1
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
