0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2014 年 7 月
推出日期,約 2014 年 7 月
網絡系統,GSM/GPRS/EDGE: 850/900/1800/1900MHz WCDMA/HSPA: 850/900/1900/2100MHz TD-LTE: 1900/2300/2600MHz
操作系統,Android
操作介面,MIUI 4.7
中央處理器,Snapdragon 801 四核 2.5 GHz CPU
圖像處理器,Adreno 330
操作系統及版本,Android 4.4.3
機身顏色,黑、白
尺寸,139.2 X 68.5 X 8.9 mm
重量,149 gram
操控,輕觸式
電池種類,3080 mAh
可更換電池,不支援
通話時間,約 12 小時
備用時間,約 280 小時
RAM 容量,2GB/3GB
ROM 容量,16GB / 64 GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,IPS
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,雙色 LED
短片拍攝,MP4
短片解像度,4K UHD (3840x216
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,AAC、MP3、WMA、AMR、FLAC、APE
短片播放格式,MP4、M4V、MKV、XVID、ASF、WMV、RM、RMVB
收音機,支援
串流播放格式,支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.0
紅外線支援,支援
流動數據,LTE、HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi 802.11 b/g/n/ac
gps 功能,GPS、A-GPS、GLONASS、北斗定位
電腦連線,usb 2.0
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
