0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2018 年 11 月
推出日期,約 2018 年 11 月
價格,"約 HK$3,999更新日期：2018-11-05"
網絡系統,GSM B2 / B3 / B5 / B8 CDMA 1X/EVDO BC0 WCDMA B1 / B2 / B4 / B5 / B8 TD-SCDMA B34 / B39 TD-LTE B34 / B38 / B39 / B40 / B41 (120MHz) FDD-LTE B1 / B2 / B3 / B4 / B5 / B7 / B8 / B12 / B17 / B20
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 845
操作系統及版本,MIUI 10
機身顏色,透明
尺寸,154.9 X 74.8 X 7.6 mm
重量,177 gram
操控,輕觸式
電池種類,3000 mAh
可更換電池,不支援
通話時間,VoLTE 最長可達 9.3 小時
備用時間,最長可達 25 天
RAM 容量,8GB
ROM 容量,128GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.21 吋
螢幕類別,AMOLED
螢幕解像度,2248 x 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,2000 萬像素
閃光燈,LED 補光燈
短片拍攝,MP4
短片解像度,4K
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"mp3, mp4, 3gp, ogg, amr, aac, flac, wav, midi"
短片播放格式,MP4、 M4V、 3GP、 3G2、 WMV、 ASF、 AVI、 FLV、 MKV、 WEBM
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google PlayStore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0 /AAC/aptX/aptX-HD音頻
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac
gps 功能,PS：L1+L5Galileo：E1+E5a QZSS：L1+L
電腦連線,USB Type C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,設屏幕指紋解鎖功能
