0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2020 年 2 月
推出日期,約 2020 年 2 月
價格,"約 HK$2,199更新日期：2020-07-15"
網絡系統,GSM B2 / B3 / B5 / B8 WCDMA B1 / B2 / B4 / B5/ B8 TDD-LTE B38 / B40 FDD-LTE B1 / B2 / B3 / B4 / B5 / B7 / B8 / B20 / B28
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,MIUI10
中央處理器,Snapdragon 710
圖像處理器,Adreno 616
操作系統及版本,Android 10
機身顏色,黑
尺寸,156.8 x 74.5 x 8.67 mm
重量,179 gram
操控,輕觸式
電池種類,4030mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,128GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.39 吋
螢幕類別,AMOLED
螢幕解像度,2340 X 1080
螢幕備註,支援無級色溫調節 | 標準模式 | 陽光屏 2.0 | 256 階護眼模式 | 夜光屏
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,支援
相機功能,"超高清鏡頭 SPNY 48MP, 0.8μm, 1/2 吋感光面積, f/1.79 光圈 , 6P 鏡頭 超廣角鏡頭 8MP 景深鏡頭 2MP 後置相機拍照功能 4800 萬超清 | 智能超廣角模式 | 手持超級夜景模式 | 人像模式景深效果 | 全景模式 | 專業模式 | 倒數計時拍照 | 水平儀 | 連拍模式 | 臉部辨識 | HDR | AI 美顏 | AI 智能瘦身 | 超廣角邊緣畸變校正 | 合影人臉修正 | 客製化浮水印 | 人像模式景深效果調整 | 全螢幕畫幅 | AI 動態光斑 | AI 影棚光效 | AI 超解析度拍照"
短片拍攝,MP4
短片解像度,4K (30 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,PCM、AAC/AAC+/eAAC+、MP3、AMR-NB/WB、FLAC、WAV
短片播放格式,H.265/HEVC(Main profile)、H.264(Baseline/Main/High profile)、MPEG4
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0
紅外線支援,支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac
gps 功能,"GPS,Galileo,GLONASS,北斗"
電腦連線,USB-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
