0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2018 年 7 月
推出日期,約 2018 年 7 月
價格,"約 HK$1,999更新日期：2018-08-01"
網絡系統,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B4(1700MHz), B5 (850 MHz), B7 (2600 Mhz), B8(900MHz), B20(800MHz) 4G TDD-LTE: B38 (2600 MHz), B40 (2300 MHz) 3G WCDMA: B1 (2100MHz), B2 (1900 MHz), B5 (850 MHz), B8 (900 MHz) 2G GSM: B2 (1900 MHz), B3 (1800 MHz), B5 (850 MHz), B8(900 MHz)"
操作系統,Android
中央處理器,Snapdragon 660 CPU
操作系統及版本,Android 8.0
機身顏色,"魔力藍 ,玫瑰金,金色,黑色"
尺寸,158.7 mmX 75.4 mm X 7.3 mm
重量,168 gram
操控,輕觸式
電池種類,3010 mAh
可更換電池,不支援
通話時間,3G 最長可達 18 小時
備用時間,3G 最長可達 450 小時
RAM 容量,4GB / 6GB
ROM 容量,64GB/128GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.99 吋
螢幕類別,TFT
螢幕解像度,2160 × 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,2000 萬像素
閃光燈,LED 閃光燈
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,WAV AAC MP3 AMR FLAC
短片播放格式,MP4 M4V MKV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,Bluetooth V5.0
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac 2.4G/5G
gps 功能,"GPS,AGPS,GLONASS,Beidou"
電腦連線,USB Type-C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
