0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2017 年 9 月
推出日期,約 2017 年 9 月
不同版本,64GB ($3899)128GB ($4299)陶瓷版 ($5499)
價格,"約 HK$3,899更新日期：2018-01-02"
網絡系統,"2G:GSM 2 / 3 / 5 / 8 2G:CDMA BC0,BC1,BC6,BC10 3G:CDMA EVDO,BC0,BC1,BC6,BC10 3G:WCDMA 1 / 2 / 3 / 4 / 5 / 6 / 8 / 9 / 19 3G:TD-SCDMA 34 / 39 4G:TD-LTE 34 / 38 / 39 / 40 / 41 4G:FDD-LTE 1 / 2 / 3 / 4 / 5 / 7 / 8 / 12 / 13 / 17 / 18 / 19 / 20 / 25 / 26 / 27 / 28 / 29 / 30"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 835
圖像處理器,Adreno 540
操作系統及版本,Android 7.1.1
機身顏色,黑
尺寸,151.8 X 75.5 X 7.7 mm
重量,185 gram
操控,輕觸式
電池種類,3400 mAh
可更換電池,不支援
通話時間,3G 最長可達 20 小時
備用時間,3G 最長可達 400 小時
RAM 容量,6GB RAM
ROM 容量,64GB / 128GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.99 吋
螢幕類別,LCD
螢幕解像度,2160 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,雙色 LED
短片拍攝,MP4
短片解像度,4K
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3,M4A, AAC,OGG,WAV,AMR,AWB(AMR-WB),FLAC,MIDI(MID,MIDI,XMF, MXMF,IMY,RTTTL,RTX,OTA)"
短片播放格式,"MP4, 3GP, 3G2, AVI, MKV,"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac
gps 功能,GPS、AGPS、GLONASS、北斗定位
電腦連線,USB Type C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
