0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2016 年 10 月
推出日期,約 2016 年 10 月
網絡系統,FDD-LTE ( B1，B2，B3，B4，B5，B7，B8) TD-LTE ( B38，B39，B40，B41) TD-SCDMA (B34，B39) WCDMA (B1，B2，B5，B8) GSM (B2，B3，B5，B8) CDMA1X/EVDO (BC0)
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,MIUI 7
中央處理器,Snapdragon 821 四核 2.35GHz CPU
圖像處理器,Adreno 530
操作系統及版本,Android 6.0
機身顏色,黑
尺寸,158.8 X 81.9 X 7.9 mm
重量,209 gram
操控,輕觸式
電池種類,4400 mah
可更換電池,不支援
通話時間,3G 長達 18 小時
備用時間,3G 長達 400 小時
RAM 容量,4GB/6GB
ROM 容量,128GB/256GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.4 吋
螢幕類別,IPS
螢幕解像度,2040 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1600 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,雙 LED
相機功能,支援 3 軸數碼防震
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、acc、amr、ogg、m4a、mid、wma、flac、ape、aac、wav
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 4.2
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi (802.11 b/g/n/ac)
gps 功能,GPS、A-GPS、GLONASS
電腦連線,USB Type C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
