0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2018 年 7 月
推出日期,約 2018 年 7 月
價格,"約 HK$1,999更新日期：2018-08-20"
網絡系統,4G TDD-LTE (B38/B39/B40/B41: 2555-2655MHz) 4G FDD-LTE (B1/B3/B7) 3G TD-SCDMA (B34/B39) 3G WCDMA (B1/B2/B5/B8) 2G GSM (B2/B3/B8)
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 636
圖像處理器,Adreno 509
機身顏色,金曜石黑、夢幻金及深海藍
尺寸,176.15 X 87.4 X 7.99 mm
重量,221 gram
操控,輕觸式
電池種類,5500 mAh
可更換電池,不支援
通話時間,3G 最長可達 20 小時
備用時間,3G 最長可達 450 小時
RAM 容量,4GB
ROM 容量,64GB ROM
可擴充記憶,Micro SD
最大支援記憶體,200GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.9 吋
螢幕類別,IPS
螢幕解像度,2160 × 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"AAC, AAC+, eAAC+, WMA、FLAC、WAV"
短片播放格式,支持H.265 /HEVC(Main profile)、H.264 (Baseline/Main/High profile)、M
收音機,不支援
串流播放格式,支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,Bluetooth V5.0
紅外線支援,支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,802.11a/b/g/n/ac
gps 功能,支援
電腦連線,USB Type-C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
