0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2021 年 5 月
推出日期,約 2021 年 5 月
價格,"約 HK$8,499更新日期：2021-06-30"
網絡系統,G：n1 / n3 / n5/ n7 / n8 / n20 / n28 / n38/ n40 / n41 / n77 / n78 / n79 4G：FDD-LTE：B1 / B2 / B3 / B4 / B5 / B7 / B8 / B12 / B17 / B20 / B28 / B32 / B66 4G：TDD-LTE：B38 / B40 / B41 / B42 3G：WCDMA：B1 / B2 / B4 / B5 / B8 / B19 2G：GSM：850 900 1800 MHz
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,MIUI 12
中央處理器,Snapdragon 888
圖像處理器,Adreno 600
操作系統及版本,Android 11
機身顏色,黑
尺寸,164.3 X 74.6 X 8.38 mm
重量,234 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB RAM
ROM 容量,256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.81 吋
螢幕類別,AMOLED
螢幕解像度,3200 x 1440
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 5000 萬像素
自動對焦,支援
光學防震,支援
光學變焦,5 X
數碼變焦,120X
視像鏡頭,2000 萬像素
閃光燈,支援
相機功能,50MP 廣角相機 1.4μm 像素尺寸，2.8μm 4 合 1 Super Pixel 1/1.12 吋感光元件 f/1.95 OIS 8P 鏡頭 雙原生 ISO 融合 交錯式 HDR Dual Pixel Pro 48MP 超廣角相機 128° 可視範圍 f/2.2 0.8μm 像素尺寸，1.6μm 4 合 1 Super Pixel 1/2.0 吋感光元件 7P 鏡頭 PDAF 48MP 遠攝相機 120x 數位變焦，10x 混合變焦，5x 光學變焦 OIS 0.8μm 像素尺寸，1.6μm 4 合 1 Super Pixel 1/2.0 吋感光元件 PDAF
短片拍攝,MP4
短片解像度,8K (30fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.2
紅外線支援,支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 6E/Wi-Fi 6
gps 功能,L1+L5 | 伽利略 E1 + E5a | 格洛納斯 G1 | 北斗
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,67W 有線高速充電/67W 無線高速充電
