0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2021 年 1 月
推出日期,約 2021 年 3 月
價格,"約 HK$5,699更新日期：2021-06-24"
網絡系統,"5G: n1, n3, n5, n7, n20, n28, n38, n41, n77, n78, n794G: FDD-LTE Band 1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32, 66 TDD-LTE Band 38, 40, 41, 423G：WCDMA 頻段1,2,4,5,82G: GSM 850 900 1800 1900 MHz支援 4×4 MIMO"
Sim 咭情況,5G+4G 雙咭雙待
操作系統,Android
中央處理器,Snapdragon 888
圖像處理器,Adreno 660
操作系統及版本,Android 11
機身顏色,午夜灰、天際藍
尺寸,164.3 x 74.6 x 8.1 mm
重量,196 gram
操控,輕觸式
電池種類,4600 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB RAM
ROM 容量,256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.81 吋
螢幕類別,AMOLED
螢幕解像度,3200 X 1440
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1.08 億像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,30X
視像鏡頭,2000 萬像素
閃光燈,LED
相機功能,"1.08億像素廣角主鏡頭 1/1.33” 超大感光元件, f/1.85, 7P鏡頭, 光學防手震, AF 1.6μm 4合1超級像素，0.8μm像素尺吋 1,300萬像素超廣角鏡頭 123° FOV, f/2.4 光圈 500萬像素長焦微距鏡頭 f/2.4, AF (3cm-10cm)"
短片拍攝,MP4
短片解像度,8K (24fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.2
紅外線支援,支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac/6
gps 功能,"GPS,支援 A-GPS,北鬥,GLONASS,Galileo,QZSS"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
