0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2021 年 6 月
推出日期,約 2021 年 6 月
不同版本,"8GB/128GB HK$3,9998GB/256GB HK$4,399"
價格,"約 HK$3,999更新日期：2021-08-30"
網絡系統,2G：GSM：850/900/1800/1900MHz 3G：WCDMA：B1/2/4/5/8 LTE FDD：B1/2/3/4/5/7/8/12/17/20/28/66 LTE TDD：B38/40/41 5G：n1/n3/n5/n7/n8/n20/n28/n38/n41/n77/n78
Sim 咭情況,雙咭雙待 5G + 4G
操作系統,Android
操作介面,MIUI 12
中央處理器,Snapdragon 888
圖像處理器,Adreno 660
操作系統及版本,Android 11
機身顏色,宇宙黑、冰霧白、太空銀
尺寸,163.7 X 76.4 X 7.8 mm
重量,196 gram
操控,輕觸式
電池種類,4520mAh
可更換電池,不詳
通話時間,不詳
備用時間,不詳
RAM 容量,8GB RAM
ROM 容量,128GB/256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.67 吋
螢幕類別,Super AMOLED
螢幕解像度,2400x1080
螢幕備註,"120Hz, HDR10+, 1300 nits, Corning Gorilla Glass 5"
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1 億像素
自動對焦,"支援, 主鏡頭"
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,2000 萬像素
閃光燈,LED 閃光燈
相機功能,"1 億像素主鏡頭 f/1.75 0.7μm，9 合 1 為單一大 2.1μm 像素 1/1.52” 感應器尺寸 7P 鏡頭 800 萬像素超廣角鏡頭 f/2.2 FOV 119° 500 萬像素長焦微距鏡頭 f/2.4 自動變焦（3 厘米 - 7 厘米） 後置鏡頭拍攝功能 AI 相機 6.0 夜景模式 2.0（廣角/超廣角） 後置鏡頭影片功能 AI 音訊 一鍵 AI 電影功能：滑動變焦、慢快門、時間靜止、長曝光延時、平行夢境、靜止相框影片 HDR10+ 影片 縮時影片 後置影片攝錄 8K 30fps 4K 60fps / 30fps 1080p 60fps / 30fps 720p 30fps 慢動作影片拍攝 720P 120fps / 240fps / 960fps 1080P 120fps / 240fps / 960fps 2,000 萬像素前置鏡頭 f/2.45 0.8μm 像素大小，1.6μm 4 合 1 大像素 前置鏡頭拍攝功能 夜景模式 前置鏡頭影片功能 1080P 30fps / 60fps 720P 30fps 慢動作影片拍攝 720P 120fps 攝錄 HDR"
短片拍攝,"MP4, HDR10+"
短片解像度,"8K (30fps), 4K@3"
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.2
紅外線支援,支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE 802.11 a/b/g/n/ac/ax
gps 功能,北斗：B1I+B1C+B2a GPS：L1+L5 伽俐略：E1 + E5a GLONASS：G1 | QZSS：L1+L5丨NavIC L5
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
參考網址,https://www.mi.com/hk/mi-11i/
備註,33W 快速充電
