0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2020 年 3 月
推出日期,約 2019 年 5 月
價格,"約 HK$2,499更新日期：2020-07-15"
網絡系統,GSM：2/3/5/8 WCDMA：B1 / B2 / B4 / B5 / B6 / B8 / B19 LTE FDD：B1 / B2 / B3 / B4 / B5 / B7 / B8 / B18 / B19 / B20 / B26 / B28 LTE TDD：38/40/41（2535-2655MHz）
Sim 咭情況,雙 Nano SIM卡槽，兩者均可指定為主卡
操作系統,Android
操作介面,MIUI11
中央處理器,Snapdragon 730G
圖像處理器,Adren 618
操作系統及版本,Android 10
機身顏色,午夜黑、 冰川白 、星雲紫
尺寸,157.8 X 74.2 X 9.67 mm
重量,204 gram
操控,輕觸式
電池種類,5260 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,128GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.47 吋
螢幕類別,AMOLED
螢幕解像度,2340×1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 6400 萬 像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,LED 閃光燈
相機功能,"AI四鏡頭 6400 萬像素主鏡頭 SONY IMX686，64MP，0.8μm結合4合1超級像素，1 / 1.73“，f / 1.89光圈 800萬像素超廣角相機 1.12μm，1 / 1.4“中，f / 2.2光圈 500萬像素景深鏡頭 1.12μm，1 / 1.5“，f / 2.4光圈 200萬像素微距鏡頭 1.75μm，1 / 1.5“，f / 2.4光圈 對焦：激光對焦|相位檢測對焦|反差檢測對焦 四手電筒,包括雙柔光燈和雙閃光燈 後置鏡頭照相和影片功能 6種模式|微距影片拍攝|影片博客影片| 4K影片錄製|人像模式背景模糊|全景模式|臨模式|光定時器|練級|突發模式|人臉識別| HDR | AI美化| AI智能瘦身|超廣角邊緣失真校正|集體照臉校正|自定義水印|人像模式背景虛化的調整|後置鏡頭AI場景檢測| AI鏡頭光暈| AI演播室燈光| 960fps慢動作影片|宏影片錄製960fps慢動作影片| 960 fps的智能音頻配對| 15秒短片錄製|後短影片智能瘦身|後置鏡頭的影片美化|"
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙5.0 支援AAC / LDAC / APTX / APTX-HD / APTX adaptive
紅外線支援,支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a / b / g / n/ AC
gps 功能,GPS：L1 |Galileo E1 | GLONASS：G1
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
