0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2020 年 9 月
推出日期,約 2020 年 9 月
價格,"約 HK$1,699更新日期：2021-05-14"
網絡系統,2G: GSM: B2/3/5/8  3G: WCDMA: B1/2/4/5/8  TDD-LTE B38/40/41（120MHz）  FDD-LTE B1/2/3/4/5/7/8/20/28
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,MIUI12
中央處理器,Snapdragon 732G
圖像處理器,Adreno 618
操作系統及版本,Android 10
機身顏色,藍、灰
尺寸,165.3 x 76.8 x 9.4 mm
重量,215 gram
操控,輕觸式
電池種類,5160mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,64GB / 128GB
可擴充記憶,Micro SD
最大支援記憶體,1TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.67 吋
螢幕類別,TFT
螢幕解像度,2400 x 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 6400像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,2000 萬像素
閃光燈,LED 閃光燈
相機功能,"64MP+13MP+2MP+2MP 四鏡頭配置 64MP 主鏡頭 Sony IMX682, 1/1.73“傳感器, ƒ/1.89, 1.6μm 4合1超級像素, 6P lens, PDAF 13MP 超廣角鏡頭, 119° FoV, ƒ/2.2, 1.0μm 2MP 微距鏡頭, r, ƒ/2.4, 1.75μm, 4cm 2MP 深度傳感器, ƒ/2.4, 1.75μm 支援4K 30fps影片錄製, AI Skyscaping 3.0, 夜景模式, 持久拍攝, vlog模式"
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.1
紅外線支援,支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,WIFI 2.4GHz/5GHz 802.11 b/g/n/ac
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
