0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2022 年 3 月
推出日期,約 2022 年 3 月
價格,"約 HK$2,499更新日期：2022-03-08"
網絡系統,支援 5G / 4G / 3G / 2G5G：Sub6G：n1、3、5、7、8、20、28、38、40、41、77、784G： FDD-LTE 頻段 1、2、3、4、5、7、8、12、17、18、19、20、26、28 TDD-LTE 頻段 38、 40、 413G：WCDMA 頻段 1、2、4、5、8、6、192G：GSM：850 900 1800 1900MHz
Sim 咭情況,SIM 1 + 混合式插槽（SIM 或 MicroSD）
操作系統,Android
操作介面,MIUI 13
中央處理器,Snapdragon 695
圖像處理器,Adreno 619
操作系統及版本,Android 11
機身顏色,雷射藍、雷射黑
尺寸,164.19 X 76.1 X 8.12 mm
重量,205 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB RAM
ROM 容量,256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.67 吋
螢幕類別,AMOLED
螢幕解像度,2400 X 1080
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,三鏡頭 1.08 億像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,支援
相機功能,"1 億像素主鏡頭 f/1.90.7μm，9 合 1 為單一大 2.1μm 像素 800 萬像素超廣角鏡頭FOV 118°f/2.2 200 萬像素微距鏡頸f/2.4 影片和攝影功能全景自拍超級微距影片雙影片 影片錄製後置鏡頭：1080p，1920x1080 | 30fps後置鏡頭：720p，1280x720 | 30fps前置鏡頭：1080p，1920x1080 | 30fps前置鏡頭：720p，1280x720 | 30fps 1,600 萬前置自拍鏡頭f/2.4"
短片拍攝,MP4
短片解像度,FHD
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.1
紅外線支援,支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac
gps 功能,GPS L1 | Glonass G1 | BDS B1 | Galileo E1
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
