0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2018 年 8 月
推出日期,約 2018 年 8 月
價格,"約 HK$2,799更新日期：2018-08-27"
網絡系統,GSM B2/3/5/8 WCDMA B1/2/5/8 FDD-LTE B1/3/5/7/8/20 TDD-LTE B38/40/41(120MHz)
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 845
圖像處理器,Adreno 630
操作系統及版本,Android 8.0
機身顏色,黑、紅、藍
尺寸,155.5 X 75.2 X 8.8 mm
重量,182 gram
操控,輕觸式
電池種類,4000 mAh
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,6GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.18 吋
螢幕類別,IPS
螢幕解像度,2160 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED 閃光燈
短片拍攝,MP4
短片解像度,4K
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,Bluetooth 5.0
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
