0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2021 年 11 月
推出日期,約 2021 年 11 月
價格,"約 HK$1,199更新日期：2021-11-16"
網絡系統,2G：GSM：850 900 1800 1900MHz 3G：WCDMA：1/2/4/5/8 4G：LTE FDD：1/2/3/4/5/7/8/20/28 4G：LTE TDD：38/40/41 (B41 2535-2655MHz)
Sim 咭情況,三咭槽
操作系統,Android
操作介面,MIUI 12.5
中央處理器,MediaTek Helio G88
圖像處理器,Mali-G52 MC2
操作系統及版本,Android 11
機身顏色,灰、白、藍
尺寸,161.95 X 75.53 X 8.92 mm
重量,181 gram
操控,輕觸式
電池種類,5000mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB RAM
ROM 容量,64GB ROM
可擴充記憶,micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,TFT
螢幕解像度,2400 X 1080
螢幕備註,90Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 5000 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,支援
相機功能,相機 5000 萬像素f/1.8800 萬像素超廣角相機f/2.2120° 可視範圍200 萬像素微距相機f/2.4200 萬像素景深相機f/2.4後置相機影片錄製 1080p | 1920x1080，30fps 720p | 1280x720，30fps前置相機800 萬像素前置相機f/2.0前置相機影片錄製 1080p | 1920x1080，30fps 720p | 1280x720，30fps
短片拍攝,MP4
短片解像度,FHD (30fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.1
紅外線支援,支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,支援 2.4GHz Wi-Fi/5GHz Wi-Fi
gps 功能,GPS：L1伽利略：E1 | 格洛納斯 | 北斗A-GPS 互輔定位 | 電子羅盤 | 無線網路 | 數據網路
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
