0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2021 年 6 月
推出日期,約 2021 年 6 月
價格,約 HK$699更新日期：2021-08-30
網絡系統,GSM B2 / 3/5/8 WCDMA B1/2/4/5/8 LTE-FDD B1/2/3/4/5/7/8/20/28 LTE-TDD B38/40/41(2535-2655MHz)
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,MediaTek Helio G25
圖像處理器,IMG PowerVR GE8320
操作系統及版本,Android 11
機身顏色,藍、灰
尺寸,164.9 X 77.07 X 9 mm
重量,196 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,2GB RAM
ROM 容量,32GB ROM
可擴充記憶,Micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.53 吋
螢幕類別,TFT
螢幕解像度,1600 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED 閃光燈
相機功能,"後置鏡頭 13MP主相機 F / 2.2光圈，FOV 75.2° 2MP微距鏡頭 F / 2.4光圈 2MP景深鏡頭 F / 2.4光圈 相位檢測自動對焦 HDR AI人像模式 人臉識別 AI美顏5.0 AI場景檢測 單頻閃光 萬花筒效果 前置鏡頭 5MP素鏡頭自拍 1.12μm大像素 F / 2.2光圈 AI美顏5.0 AI人像模式 HDR 螢幕閃動 倒數計時自拍 人臉識別 人像自拍 手勢拍照 影片 1080P，30fps 720p, 30fps"
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,Bluetooth V5.0
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 b / g / n
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
