0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2021 年 3 月
推出日期,約 2021 年 3 月
價格,"約 HK$1,199更新日期：2021-06-30"
網絡系統,2G：GSM： B2/3/5/8 3G：WCDMA： B1/2/4/5/8 4G: TDD-LTE: B38/40/41(2545-2650MHz) 4G: FDD-LTE: B1/2/3/4/5/7/8/18/19/20/26/28
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 662
圖像處理器,Adreno 610
操作系統及版本,Android 11
機身顏色,碳纖灰、暮光藍、海洋綠
尺寸,162.3 x 77.3 x 9.6 mm
重量,198 gram
操控,輕觸式
電池種類,6000mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB RAM
ROM 容量,64GB ROM
可擴充記憶,microSD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.53 吋
螢幕類別,TFT
螢幕解像度,2340x1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4800 萬像素 像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED 閃光燈
相機功能,"後置鏡頭 4,800 萬像素主鏡頭 1/2"" 感應器尺寸 1.6μm 4 合 1 超像素，0.8μm 像素大小 f/1.79 PDAF 800 萬像素超廣角鏡頭 FOV 120° f/2.2 200 萬像素微距鏡頭 f/2.4 FF 200 萬像素景深鏡頭 f/2.4 影片錄製 1080p，1920x1080 於 30fps 720p，1280x720 於 30fps 縮時影片 前置鏡頭 800 萬像素前置鏡頭 f/2.05 影片錄製 1080p，1920x1080 於 30fps 720p，1280x720 於 30fps"
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0
紅外線支援,支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac
gps 功能,GPS/A-GPS，GLONASS，Beidou，Galileo
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
