0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2021 年 5 月
推出日期,約 2021 年 6 月
價格,"約 HK$1,599更新日期：2021-08-30"
網絡系統,"5G:n1,n3,n7,n8,n20,n28,n38,n40,n41,n66,n77,n78 4G:FDD-LTE Band 1,2,3,4,5,7,8,12,17,20,28,32,66 TDD-LTE Band 38,40,41 3G: WCDMA Band 1,2,4,5,8 2G: GSM 850 900 1800 1900 MHz"
Sim 咭情況,5G 雙咭雙待
操作系統,Android
中央處理器,MediaTek Dimensity 700
圖像處理器,ARM Mali-G57 MC2
操作系統及版本,Android 11
機身顏色,灰、藍、銀、綠
尺寸,161.81 X 75.34 X 8.92 mm
重量,190 gram
操控,輕觸式
電池種類,5000mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB/6GB RAM
ROM 容量,64GB/128GB ROM
可擴充記憶,micro SD
最大支援記憶體,1TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,TFT
螢幕解像度,2400 X 1080
螢幕備註,90Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,支援
相機功能,48MP 主鏡頭 1 / 2 吋感光元件 f/1.79 2MP 微距鏡頭 f/2.4 2MP 景深鏡頭 f/2.4 後置鏡頭拍照功能 夜景模式 AI 相機 5.0 電影畫框 後置鏡頭錄景功能 影片微距模式 縮時影片 慢動作影片 後置影片攝錄 1080P，1920 × 1080 30fps 720p 1280x720 | 30fps 慢動作影片：1280×720 | 120fps 800萬像素 f/2.0 前置鏡頭拍照功能 定時連拍 AI 美顏 AI 人像模式，背景模糊和景深控制 電影畫框 前置鏡頭影片功能 縮時攝影 AI 影片美顏 前置影片錄影 1080P，1920 × 1080 30fps 720p 1280x720 | 30fps
短片拍攝,MP4
短片解像度,FHD (30fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.1
紅外線支援,支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a / b / g / n/ AC /
gps 功能,"GPS,Galileo,GLONASS,北斗"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,18W 有線快速充電
