0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2019 年 10 月
推出日期,約 2019 年 10 月
不同版本,"6GB/64GB HK$1,6996GB/128GB HK$1,799"
價格,"約 HK$1,699更新日期：2020-07-15"
網絡系統,GSM B2 / B3 / B5 / B8 WCDMA B1 / B2 / B4 / B5/ B8 TDD-LTE B38 / B40 FDD-LTE B1 / B2 / B3 / B4 / B5 / B7 / B8 / B20 / B28
Sim 咭情況,4G + 4G 雙卡雙待 支援 Nano-SIM + (Nano-SIM/Micro-SD) 三選二 卡槽
操作系統,Android
操作介面,MIUI10
中央處理器,MTK Helio G90T
圖像處理器,ARM Mali G76 MC4
操作系統及版本,Android 9
機身顏色,黑、灰、綠
尺寸,161.35 X 76.4 X 8.79 mm
重量,200 gram
操控,輕觸式
電池種類,4500 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,64GB / 128GB
可擴充記憶,Micro SD
最大支援記憶體,56GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.53 吋
螢幕類別,TFT
螢幕解像度,2340 x 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡 6400 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,10X
視像鏡頭,2000 萬像素
閃光燈,LED 閃光燈
相機功能,超高清主攝鏡頭 64MP，0.8μm，1/1.7 吋型感應器，暗光環境 4 in 1 1.6μm 大像素（1600 萬像素），f/1.89，FOV 79° 120° 超廣角鏡頭 8MP，1.12μm，f/2.2，FOV 120° 2cm 超微距鏡頭 2MP，1.75μm 人像景深鏡頭 2MP，1.75μm 變焦模式：10 倍數位變焦 對焦方式：相位對焦 | 反差對焦 照片解析度：最大可支持 9248 x 6936 像素 錄影解析度：最大可支持 3840 × 2160 像素 單色溫雙閃光燈
短片拍攝,MP4
短片解像度,4K
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,WAV | AAC | MP3 | AMR | FLAC | APE
短片播放格式,MP4 | M4V | MKV | XVID |
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0 無線技術
紅外線支援,支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac
gps 功能,內置 GPS / 支援 A-GPS / 北斗 / Glonass
電腦連線,USB Type-C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
