0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2021 年 1 月
推出日期,約 2021 年 1 月
不同版本,4GB/64GB $15994GB/128GB $1799
價格,"約 HK$1,599更新日期：2021-05-28"
網絡系統,5G ：N1 / N3 / N5 / N7 / N20 / N28 / N38 / N41 / N77 / N78 / N79 LTE FDD：B1/2/3/4/5/7/8/20/28/32/18/26/12/17/19 LTE TDD：B38/40/41 WCDMA：1/2/4/5/8 GSM：2/3/5/8
Sim 咭情況,真三咭槽
操作系統,Android
操作介面,MIUI 12
中央處理器,MTK Dimensity 800U
圖像處理器,Mali-G57 MC3
操作系統及版本,Android 10
機身顏色,黑、紫
尺寸,162 x 77.3 x 9.2 mm
重量,199 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB RAM
ROM 容量,128GB ROM
可擴充記憶,Micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.53 吋
螢幕類別,TFT
螢幕解像度,2340 x 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1300 萬像素
閃光燈,LED
相機功能,48MP主鏡頭 0.8μm像素，1.6μm 4合1 超級像素 1/2“ 感光元件 F / 1.79 自動對焦 2MP微距鏡頭 F / 2.4，4cm焦點距離 1.75μm像素 2MP景深鏡頭: F / 2.4 1.75μm像素 後鏡頭錄影 4K影片錄影30fps 1080p影片錄影30 / 60fps 720p影片錄影30fps 慢動作影片 120fps，1080 / 720p 前置鏡頭：13MP 自拍鏡頭 F / 2.25 前鏡頭錄影 1080P影片錄影30fps 720p影片錄影30fps 慢動作影片：120fps，支援720p
短片拍攝,MP4
短片解像度,4K 30fps
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3/mp4/3gp/ogg/amr/aac/flac/midi
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0
紅外線支援,支援
流動數據,"5G,LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac
gps 功能,"GPS,Galileo,GLONASS,北斗"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
