0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2020 年 9 月
推出日期,約 2020 年 10 月
價格,"約 HK$3,699更新日期：2021-10-06"
網絡系統,5G：n1/n3/n5/n7/n8/n20/n28/n38/n40/n41/n66/n77/n78 4G：LTE FDD：B1/2/3/4/5/7/8/12/13/17/18/19/20/26/28/32/66 4G：LTE TDD：B38/40/41/42 3G：WCDMA：B1/2/4/5/6/8/19 2G：GSM：850 900 1800 1900 MHz
Sim 咭情況,雙咭雙待 (5G+4G)
操作系統,Android
操作介面,MIUI 12.5
中央處理器,MediaTek Dimensity 1200-Ultra CPU
圖像處理器,9 核心 ARM Mali GPU
操作系統及版本,Android 11
機身顏色,太空藍 、月光白、流星灰
尺寸,164.1 X 76.9 X 8.8 mm
重量,203 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB RAM
ROM 容量,256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.67 吋
螢幕類別,AMOLED
螢幕解像度,2400 X 1080
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1 億像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,LED
相機功能,後置相機 108MP+8MP+5MP 三鏡頭相機 1 億 800 萬像素超廣角相機 0.7μm 像素尺寸，2.1μm 9 合 1 Super Pixel f/1.75 800 萬像素超廣角相機 120° 可視範圍 f/2.2 500 萬像素長焦微距鏡頭相機 f/2.4 AF (3cm-7cm) 後置相機攝影功能 夜間模式 AI 夜間模式 AI Erase 2.0 長曝光模式有六種效果，包括穿梭人群、霓虹燈軌跡、行雲流水、創意光繪、璀璨星空、浪漫星軌 相片複製 108MP 模式 文件模式 2.0 Google 智慧鏡頭 後置相機錄影功能 Audio Zoom 8K 影片 一鍵 AI電影功能 HDR10+ 拍攝 影片專業模式 支援以 120fps、240fps、960fps 拍攝 1080 慢動作影片 後置相機影片拍攝 8K 7680x4320，30fps 4K 3840x2160，60fps 4K 3840x2160，30fps 1080p 1920x1080，60fps 1080p 1920x1080，30fps 720p 1280x720，30fps 前置相機 1600 萬像素自拍相機 f/2.45 前置相機攝影功能 夜間模式 前置相機影片拍攝 1080p 1920x1080，60fps 1080p 1920x1080，30fps 720p 1280x720，30fps
短片拍攝,MP4
短片解像度,8K (30fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0
紅外線支援,支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac/6
gps 功能,GPS：L1+L5 伽利略：E1+E5a | 格洛納斯：G1 | 北斗
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,67W Xiaomi HyperCharge
