0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2020 年 5 月
推出日期,約 2020 年 5 月
價格,"約 HK$6,888更新日期：2020-07-15"
網絡系統,2G GSM 850/900/1800/1900 3G WCDMA B1/2/4/5/6/8/9/19 CDMA2000 BC0 4G LTE FDD B1/B2/B3/B4/B5/B7/B8/B12/B17/B18/B19/B20/B26/B28 4G LTE TDD B34/B38/B39/40/41 5G N41/N78（3400-3600MHz）/N79（4800-5000MHz）
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 865
圖像處理器,Adreno 650
操作系統及版本,Android 10
機身顏色,黑
尺寸,177.79 X 83.29 X 10.1 mm
重量,253 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,2890(2G)、1804(3G)、1655(4G) 分鐘
備用時間,600(2G)、625(3G)、431(4G) 、485.4(5
RAM 容量,12GB RAM
ROM 容量,256GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,7.1 吋
螢幕類別,AMOLED
螢幕解像度,3120 x 1440
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 6400 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,2000 萬像素
閃光燈,LED 閃光燈
相機功能,後置鏡頭像素 6400 萬像素 / 64MP (4in1) (F/1.8) + 1300 萬像素 / 13MP (F/2.25) + 500 萬像素 / 5MP (F/2.2) 前置鏡頭像素 2000 萬 / 20MP（4in1）
短片拍攝,MP4
短片解像度,4K
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"mp3, amr, flac, aac, wav, ogg, wma, ape, aiff,"
短片播放格式,"3gp, mp4, flv, avi, asf, webm, 3g2,"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,"Bluetooth V5.0 支援 BLE , aptX, A2DP, aptX HD, aptX Adaptive, LDAC"
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE 802.11 a/b/g/n/ac/ax
gps 功能,GPS／AGPS／GLONASS／BEIDOU/Galileo/
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,65W 高速充電+ 18W磁吸充電
