0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sharp
發表日期,-
推出日期,-
網絡系統,HSDPA / UTMS / GSM 900 / GSM 1800 / GSM 1900
機身顏色,黑色、綠色、紫色
尺寸,101.4 x 47.8 x 15.3 mm
重量,93 gram
電池種類,鋰電池
可更換電池,不詳
通話時間,138 分鐘
備用時間,400 小時
RAM 容量,50MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,2GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.2 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,200 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,10X
視像鏡頭,10 萬像素鏡頭
閃光燈,-
短片拍攝,影片拍攝影片播放
短片解像度,640 x 480
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+
短片播放格式,H.264
收音機,立體聲 FM 收音機
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,-
紅外線支援,-
流動數據,UMTS、EDGE、GPRS
wifi 功能,-
gps 功能,-
電腦連線,-
視頻輸出,-
