0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sharp
發表日期,約 2011 年 5 月
推出日期,約 2011 年 5 月
價格,"約 HK$3,480更新日期：2011-06-01"
網絡系統,HSDPA / UMTS / GSM 900 / GSM 1800 / GSM 1900
機身顏色,粉紅色
尺寸,110 x 50 x15.0 mm
重量,120 gram
操控,數字鍵盤
電池種類,鋰電池
可更換電池,不詳
通話時間,21- 分鐘 (3G) / 120 分鐘 (2G)
備用時間,540 小時
RAM 容量,-
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.2 吋
螢幕類別,ASV
螢幕解像度,480 x 854
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,43 萬像 CMOS
閃光燈,LED
短片拍攝,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC
短片播放格式,MPEG4
收音機,-
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,-
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,-
gps 功能,GPS
電腦連線,-
視頻輸出,-
